yüzde-0.04618103913716194 yeni-0.04099156532832177 art-0.03542681856461037 þehit-0.027053681752181213 polis-0.026760474424626996 yýl-0.026587524855729593 ilçe-0.0260522821234231 ayýn-0.025144730599014474 yazýlým-0.02276346183516649 operasyon-0.02080715647492305 asker-0.018096109766584715 yayýn-0.01723329200747273 cihaz-0.01415169597234923 ayný-0.014072561398460139 bilgisayar-0.01277594158557638 amiral-0.012368779470758217 batarya-0.012365921431470398 model-0.01232427471157993 gemi-0.011544169589571664 seyir-0.010122944304903611 güncel-0.009334259647257197 asya-0.009278860058032981 uyuþtur-0.009225189224356112 endeks-0.008904314000991384 hal-0.00832112338840168 gözaltý-0.008310122934687237 liste-0.008300751641008281 sanayi-0.008138608839599895 merak-0.00779281079221832 kiþi-0.007461234142169479 abd-0.006448634313556974 istanbul-0.00630778089213245 satýþ-0.006065290849289379 büyü-0.0059962920786327395 seviye-0.005984286546245643 özel-0.005880255335178195 ton-0.0056500166822688455 silah-0.005433696635235391 halka-0.0054232299202558645 hemen-0.005363200262727561 tavsiye-0.005330017045894051 negatif-0.005138495466508085 detay-0.004947789871813517 saldýrý-0.00491138623453633 üretim-0.004901549248504069 arz-0.0048127498994995676 alýþ-0.004438235615413222 yara-0.004429107628309963 piyasa-0.004362635088643958 mali-0.004316375617819747 
altýn-0.04696937518532263 yüksel-0.03488173592932427 model-0.033164965383323045 lira-0.02784976646063845 borsa-0.027818690017247443 puan-0.02409745980260098 günü-0.023885970712834804 maç-0.022306037648724995 gram-0.020469462047040234 sezon-0.02006138530433191 izle-0.019393448221403067 yüzde-0.01899352332160057 deðer-0.01863469116411951 sistem-0.018494966292715017 art-0.018131802529241275 dizi-0.018106134064547433 deplasman-0.017333390619305517 endeks-0.01687712205198061 düþ-0.016644741439927346 apple-0.013624051521836147 yeni-0.013393853748169234 bölüm-0.012076998610960881 yarý-0.009818484439985046 geçen-0.009424407242142337 oyun-0.008382666134725759 para-0.00826121882058876 saç-0.00823086551634716 oyna-0.008010232765000418 brezilyalý-0.007786622847618892 sorun-0.00767172807994092 hakem-0.007011252325204574 konu-0.006895582325128506 idrar-0.006680956437158487 yatay-0.006507113762760985 ihtiyaç-0.0064455298438266286 iddia-0.006399961790027563 istanbul-0.006228884076603381 kadro-0.005933902955721422 merak-0.005858290963797251 inci-0.005791465829097572 kazan-0.005433224953900369 top-0.005404389191031482 grup-0.005404050686679273 ateþ-0.005332460848331928 satý-0.005241185221623662 hazýrlýk-0.005069517121378606 özel-0.004994568045509304 dursun-0.00497182298614323 bedel-0.004954302378228632 önem-0.004925345595367064 
veri-0.03320172895286474 uzman-0.028211500525303607 besle-0.022889806631745713 kadýn-0.02257721589137564 diyet-0.021537932408692118 diyetisyen-0.01885074038232355 besin-0.018741374446718667 petrol-0.016073989214658684 dizi-0.015602779869205387 art-0.013636598989314075 beklenti-0.013630469556134958 program-0.012566488500544381 kayýp-0.012348833596168736 vitamin-0.012255316253062329 rol-0.011429967487444346 kaybet-0.011267599285285779 abd-0.010720933326570228 konu-0.010494899150820658 can-0.01040652428298493 fiyat-0.010383393742305895 ciddi-0.008223368760180831 metabolizma-0.00793154160303856 ünlü-0.007830237552694885 hýzlan-0.007807924884172364 üretim-0.007511932560644671 cinsel-0.007455002818199941 mineral-0.007365388153142969 belirti-0.007307404652017149 cihangir-0.007182487967237156 düþ-0.006795989564057712 üret-0.006480555306510427 baðýþýk-0.006369754602449635 iþlem-0.005840173925361132 ekip-0.005733367334952356 varil-0.005706095025864311 giy-0.00547406621290361 maðlup-0.005332010687662642 dolar-0.005308632763682228 yaþam-0.005174154542535213 erkek-0.00513023233151479 hayat-0.005057307841385806 atatürk-0.005031900569355195 beyin-0.004994160921554816 kanal-0.004976969297164121 deniz-0.004964622138635807 tüf-0.0049145109631695905 poz-0.004909964887255411 halk-0.004839521135087027 türkiye-0.004834146830317138 stok-0.004829047299668097 
yýl-0.05815384694533292 þarký-0.05787892720249084 yaþ-0.028803779956640057 kilo-0.02826710468075569 hayat-0.025870008421879143 ünlü-0.018972667342232 yatýrým-0.015935367832008048 kadýn-0.013678993278682253 cinsel-0.012848650148845172 bebek-0.010086518029421518 tedavi-0.009850264234615045 rekor-0.009350934227912555 yakala-0.008955806568843446 emre-0.008742878351764665 þirket-0.00850027129530985 diyet-0.008470515895863577 dava-0.00781920268362961 bayram-0.00753122746643203 aþk-0.007503765134784039 konu-0.006854510094240626 manken-0.006473026088405364 sevgi-0.006386148109585174 istek-0.006288415503719404 toprak-0.006135420959344856 gerekçe-0.0060451844686601405 önem-0.006020338957724001 emir-0.005919834011710067 küçük-0.005908019438528264 görüntüle-0.005669583912551356 yarýþ-0.005615069836698663 yeni-0.005613544614497489 katar-0.005599791764872212 milletvekil-0.005517996469825205 zayýfla-0.005497484418956197 gerçek-0.005481420658325265 egzersiz-0.005450621982979346 objektif-0.005152463665280123 brezilya-0.005121532331277207 tilki-0.005061918059868776 çocuk-0.0049794546406106395 oyun-0.004937626611805948 program-0.004925570345083633 pop-0.004924361511639962 vitamin-0.004777509264360262 kadro-0.004717281070874401 genç-0.004692259971579341 serdar-0.004676559352683352 söz-0.004673286402369412 hak-0.004534059528743901 uzman-0.004444836596376751 
türk-0.04978907258727462 futbol-0.033292685850900054 güncel-0.029931316330672184 sosyal-0.022795857598974793 medya-0.02134879580543081 yayýn-0.01967524210810979 tarihi-0.015468271566037585 lübnan-0.015447402076331497 takým-0.015378831165206136 tanýt-0.015363200415005081 kriz-0.015320353117317748 yeni-0.015129052742359475 istanbul-0.013935155882517885 not-0.01271276723984248 ele-0.012586084846419373 kalp-0.010567178033096251 borsa-0.010420417418338117 sevgi-0.009839938540412851 fransa-0.009835850342283115 harir-0.009466076846804544 paylaþ-0.009346256528812965 günü-0.009032599024847725 baþbakan-0.00844312774342477 sahne-0.00819456598031961 baþ-0.007260817943999043 eleþtiri-0.007218812947945094 içki-0.006883079804722365 program-0.006688769203147999 dünya-0.006249522481834222 kredi-0.006165343562300593 emniyet-0.006094851149608 saad-0.006023744097852577 genç-0.005811645962930194 istifa-0.0057521976610167445 adana-0.005633258896920855 yönetim-0.005473781668079092 seyir-0.005464794271656497 sporcu-0.005306100788025015 acun-0.005172407305218056 ýlýca-0.00510652379813789 kalan-0.004791039815664001 tenis-0.0047417556863648385 numara-0.004731025501644635 kapsam-0.00467329239728306 þok-0.004668135684722482 sebep-0.004667614238998354 iþlem-0.00443548372718809 þiþe-0.004301293015073876 ömür-0.004291019381226577 söz-0.0042382369012447605 
akýl-0.07254143449090805 yeni-0.06133203044357558 telefon-0.052942871092623425 ilgi-0.04597027450404197 dolar-0.028228383616828733 açýklama-0.026386198709370094 isim-0.02321920242981944 ekran-0.01971670774266501 söz-0.017746303646985945 çeyrek-0.01398013719780249 iddia-0.013327781474447386 sahip-0.01273466370199876 kutla-0.012559674584971233 seçim-0.011809126188489541 marka-0.011282631448243213 net-0.01123644937897428 kar-0.011070697421564841 yaklaþýk-0.010406806730484983 sevi-0.009751283492224549 müzik-0.009477307466224128 türkiye-0.009282786404423872 sahne-0.008997382594138487 konuk-0.008608650875478796 kanun-0.00836353728496265 ses-0.008166165239408172 vize-0.007432856469336047 cumhuriyet-0.007104402242869293 satý-0.006223405681690811 abd-0.0060026937077198314 kongre-0.005668243462268056 hisse-0.00556811653886847 yýl-0.005562818033128003 aday-0.005209298479479389 yayýn-0.005173483770739112 tansiyon-0.005157515774720686 þarký-0.004802146244148599 önem-0.00476219361285422 kamera-0.004352794366276394 mustafa-0.004301182711759762 kriz-0.004200838048682468 üret-0.004136928469756136 evli-0.004131885872875054 bölüm-0.004120967275788178 kanal-0.00408162062963695 seri-0.004080370124246198 dönüm-0.004080353566402724 sözcü-0.004021786602882255 uygun-0.003831159798745933 parti-0.003784947837247901 teknoloji-0.0036203893117151996 
oyun-0.1056243257633699 öldür-0.03711973092639816 yeni-0.02658556034251982 kiþi-0.019529280487253504 dizi-0.01800357627461102 istanbul-0.01608119632999196 adam-0.01454519619187828 kaybet-0.014178630271136047 hayat-0.013644843491742968 orta-0.012847056892922067 yöntem-0.010887263513388964 film-0.010628822478637813 yaþ-0.01001328456244902 görüntüle-0.00988986839501648 þekil-0.0077537704001367095 ünlü-0.007446910461211053 mobil-0.007196675894832291 kanal-0.00701962466296988 býçakla-0.00677827630744187 tören-0.006761041811777755 aþk-0.0066455813420113275 ekran-0.006585288288702051 yakala-0.006492656930273219 arkadaþ-0.006308045898721089 kavga-0.006016626392088438 dikkat-0.006006188608574458 intihar-0.005973056489869751 terörist-0.005811364824867643 amerikan-0.005794562002173065 evlen-0.005611321022776629 gözde-0.005562169444202859 güncel-0.005397509155958963 anne-0.005383847110530457 tiyatro-0.005362172558147728 sinan-0.005301979280021176 baþarý-0.005162256522098969 karakter-0.004806040861676193 fýtýk-0.004725709975609888 hizmet-0.004725343951483699 vatan-0.004665340242914636 patla-0.004658428867783411 uyruk-0.004507200581817348 ele-0.004442604938451212 jandarma-0.004431138376180021 bilgisayar-0.0043743356187632065 çeþitli-0.004368145037331471 öðrenci-0.004314342312304625 tartýþ-0.004032726968394764 öðretmen-0.004022510451714636 objektif-0.004021030793331544 
banka-0.045487477161551125 dýþ-0.03117086557786997 ekip-0.031114484956869075 þirket-0.028689165623800608 merkez-0.02491162264147763 piyasa-0.023245544121527573 yakala-0.0222666525254168 sözleþ-0.020801410777107683 satýþ-0.020222810948045723 uzat-0.017513047784528352 kaçak-0.016193388758703683 yasa-0.016016248690057293 genç-0.015734948356773727 hareket-0.013865132976630133 dolar-0.013307870997566031 yurt-0.011937415180546775 maç-0.011679210954687425 avrupa-0.011607548333504544 thy-0.009886079904875824 sektör-0.009067285924851074 seçil-0.009026853397617319 sigara-0.008684590189581462 renk-0.008591674806734615 teklif-0.008169979619784764 eksi-0.00807531662928035 kaya-0.007753446190422224 maðlup-0.007657104243793578 göçmen-0.007175568080674775 düþ-0.006876248791790915 doð-0.006793797436204824 operasyon-0.006541108284084599 satý-0.006358310750644464 can-0.006193851682122808 belediye-0.006158074529174082 üniversite-0.00606745693346947 anadolu-0.00586960744793311 yen-0.005785258291061855 komisyon-0.005467113719106577 dizüstü-0.005289959079792668 çanakkale-0.005108771569313798 yunanistan-0.0049586322878941895 iddia-0.004780682776758219 hafta-0.004771952196150891 anlaþ-0.004711227279510675 amerika-0.004709920040547848 soylu-0.004661207232900159 israil-0.004500440481445511 edirne-0.004491262105047376 yabancý-0.004390073513146748 akdeniz-0.004352358480697762 
takým-0.06432451425135696 dünya-0.04949347693609891 maç-0.03128348195936748 türkiye-0.029694135434165776 avrupa-0.028263925744485018 grup-0.026603987240724977 kupa-0.02459932993138996 zirve-0.018554537301027105 kazan-0.015501864673585494 mücadele-0.014648098423079407 marka-0.014315236069723215 ele-0.013837184953669047 þampiyona-0.013592796961034923 dev-0.013553430228442964 reklam-0.013252894367777813 çin-0.011424820098743498 müdür-0.009887599799653805 sözcü-0.009716738717210533 site-0.009474477545248963 imzala-0.008090030536342085 iddia-0.0077934191715701845 ünlü-0.007599662238987973 ekip-0.007480166937782603 rusya-0.006806094097192064 hata-0.006768402592090782 yeni-0.0065478531208500845 romanya-0.006349486921618904 günü-0.006297657015636512 video-0.006212232139475095 kritik-0.005924043657327253 borsa-0.0059228023196418 engel-0.005558116319288433 deplasman-0.0054846637893811 basýn-0.005402344146237599 incel-0.0053134061292487555 cumhurbaþkanlýðý-0.005169714394495281 medya-0.0051231088573368486 yað-0.005094608553809677 silah-0.005086336244577271 abd-0.004969059918541562 anlaþma-0.004890473324432111 adalet-0.004638494414460225 emniyet-0.004557861100921975 oyna-0.004507204516085245 saha-0.004504531874499102 iþlemci-0.004488987277705719 direktör-0.004452426799139983 mahkeme-0.004422422689395095 sosyal-0.00442234622484307 mesaj-0.004299807665864689 
türkiye-0.060424747168082334 bakan-0.052765942670046986 cumhurbaþkaný-0.04099025372219775 dönem-0.03077834715253154 gelecek-0.028675415485345395 art-0.02037966726318171 nato-0.015696392524526107 iran-0.014431332292871926 lira-0.01362524560754367 þarj-0.013272103733377134 kaybet-0.013208443628141622 geri-0.0119224622857024 rusya-0.010695785618041407 maðlup-0.010503510292525164 yeni-0.010282855208326464 görev-0.010068844125159666 hayat-0.01000046529236716 hýz-0.009944641668909376 baba-0.009549572518913842 bütçe-0.009534965842561156 basketbol-0.009114883857884937 ibrahim-0.0086120303674142 ihracat-0.008472104619611865 yüzde-0.008401330473258053 ceza-0.008228079696466037 teknoloji-0.008053762380662945 tepki-0.00762557610844222 skandal-0.007395523076629443 rus-0.0073146925630113175 konuk-0.007197521498789456 amerikan-0.007180253931369088 yýlmaz-0.007133107669140446 konu-0.006923361020383773 ankara-0.006763225284154597 erkek-0.006458002037783839 yön-0.00620704103831876 hale-0.00616986944428576 sat-0.0060332282432215235 kalan-0.005904845515582445 gündem-0.005739802303557445 politika-0.005326779555289548 grip-0.005275078480869807 turizm-0.004765173350749444 tatbikat-0.00462227755529108 sorun-0.004613168069651053 tabanca-0.004462410719261222 cam-0.0044422589278943145 ismet-0.004405179736440177 savunma-0.004345478407039403 deprem-0.004314860513336839 
ölü-0.038394456950265256 lider-0.02518948021815973 devlet-0.01906788191817973 görüntüle-0.01892172335896407 parti-0.018403209409217254 yara-0.01814081690701277 fayda-0.016511664241798143 bahçe-0.015481539836093005 mhp-0.01506394068042414 yýldýz-0.014104056121150121 grup-0.01334296570134303 tutukla-0.013055087424005211 merkezi-0.011488705565908463 cinayet-0.01148703186426943 oyun-0.011405444947813068 evin-0.010642138342719721 cumhurbaþkaný-0.010590753802652637 kural-0.01055200372474329 birinci-0.010245467525597983 göz-0.010213055062714043 kamera-0.00945884945892674 mekan-0.009442335562110958 beþiktaþ-0.009269087512307159 toplantý-0.009139352737199439 transfer-0.008788986955877105 evlilik-0.008658351186899461 araþtýrma-0.008200889432427683 kaybet-0.008098440074969255 gündem-0.007886192088824987 zanlý-0.007698576105957634 yaþ-0.007620356962824126 üye-0.007615423530232272 kanser-0.007452129755634133 sevgi-0.007305080855909826 arda-0.007293334430449154 ümit-0.0071901089765272755 meme-0.007015196443850482 ölüm-0.006507839365767765 haber-0.006372526255902467 pepe-0.006211313797770349 alýþveriþ-0.006210474393721623 oðul-0.006206476823861102 antalya-0.006083683288610249 abd-0.005973761924468589 küresel-0.005803867874983618 ürün-0.005800373355885136 birim-0.005480633186978108 konu-0.005466013522905997 düþ-0.005461806641012025 ünlü-0.005315658142202694 
